City,Lat,Lng,Country,Max Temp (C),Humidity,Cloudiness,Wind Speed (Kmph),Date
Puerto Escondido,15.85,-97.0667,MX,24.46,64,40,0.0,1624192490
Punta Arenas,-53.15,-70.9167,CL,3.06,81,0,3.6,1624192491
Hearst,49.6835,-83.6665,CA,14.14,77,100,2.35,1624192491
Rikitea,-23.1203,-134.9692,PF,23.82,77,87,8.93,1624192491
Ushuaia,-54.8,-68.3,AR,1.81,80,20,2.06,1624192491
São João da Barra,-21.6403,-41.0511,BR,22.05,68,42,6.77,1624192492
Vaini,-21.2,-175.2,TO,19.09,100,20,1.03,1624192492
Saldanha,-33.0117,17.9442,ZA,28.03,39,1,7.95,1624192492
Awjilah,29.1081,21.2869,LY,34.09,16,0,4.69,1624192492
Bluff,-46.6,168.3333,NZ,3.22,85,9,5.7,1624192493
Hermanus,-34.4187,19.2345,ZA,28.28,52,2,1.95,1624192493
Ribeira Grande,38.5167,-28.7,PT,23.22,49,20,4.12,1624192493
Kapaa,22.0752,-159.319,US,24.18,81,20,4.63,1624192493
Kaitangata,-46.2817,169.8464,NZ,6.85,91,26,2.08,1624192494
Basco,20.4487,121.9702,PH,28.75,86,100,11.89,1624192494
Biak,-0.9131,122.8766,ID,24.72,84,100,2.19,1624192494
Kananga,-5.8958,22.4178,CD,34.58,21,40,2.37,1624192494
Hithadhoo,-0.6,73.0833,MV,28.18,72,100,3.22,1624192208
Saskylakh,71.9167,114.0833,RU,28.22,27,71,4.95,1624192495
Pevek,69.7008,170.3133,RU,6.76,71,8,1.95,1624192495
Jamestown,42.097,-79.2353,US,20.29,95,90,0.89,1624192495
Bāsār,27.9833,94.6667,IN,22.95,99,89,0.7,1624192496
Praia,14.9215,-23.5087,CV,26.3,57,20,8.23,1624192496
Celano,42.0855,13.5398,IT,32.19,40,100,0.45,1624192496
Busselton,-33.65,115.3333,AU,7.78,96,100,2.68,1624192222
Ulladulla,-35.35,150.4667,AU,10.61,81,73,3.81,1624192497
Valparaíso,-33.0393,-71.6273,CL,12.49,80,75,2.06,1624192497
Tiznit Province,29.5833,-9.5,MA,23.49,44,2,4.96,1624192497
California City,35.1258,-117.9859,US,29.67,25,1,0.45,1624192498
